id_municipio,nm_municipio,uf,total_ativo
172100,Palmas,TO,127806
170210,Araguaína,TO,37839
170950,Gurupi,TO,18226
171820,Porto Nacional,TO,15817
171610,Paraíso do Tocantins,TO,7539
170550,Colinas do Tocantins,TO,4806
171650,Pedro Afonso,TO,4693
170930,Guaraí,TO,3956
170700,Dianópolis,TO,2830
171320,Miracema do Tocantins,TO,2701
170220,Araguatins,TO,2480
172210,Xambioá,TO,2374
172120,Tocantinópolis,TO,2180
172090,Taguatinga,TO,2144
170820,Formoso do Araguaia,TO,2098
170070,Alvorada,TO,1734
170040,Almas,TO,1277
171420,Natividade,TO,1228
170240,Arraias,TO,1168
170255,Augustinópolis,TO,1145
171330,Miranorte,TO,1139
171190,Lagoa da Confusão,TO,1020
170200,Araguaçu,TO,975
170330,Bom Jesus do Tocantins,TO,935
170305,Bandeirantes do Tocantins,TO,834
171670,Colméia,TO,673
170384,Campos Lindos,TO,671
171660,Peixe,TO,637
171575,Palmeirópolis,TO,634
170765,Figueirópolis,TO,581
171488,Nova Olinda,TO,578
170610,Cristalândia,TO,563
172125,Tupirama,TO,537
170230,Arapoema,TO,536
172208,Wanderlândia,TO,530
170100,Ananás,TO,526
172080,Sítio Novo do Tocantins,TO,513
170290,Axixá do Tocantins,TO,454
170900,Goiatins,TO,446
170035,Aliança do Tocantins,TO,436
172020,São Miguel do Tocantins,TO,424
171790,Ponte Alta do Tocantins,TO,409
170710,Divinópolis do Tocantins,TO,409
171620,Paranã,TO,408
171360,Monte do Carmo,TO,377
170382,Cachoeirinha,TO,374
171570,Palmeirante,TO,371
171050,Itacajá,TO,370
170300,Babaçulândia,TO,360
171500,Nova Rosalândia,TO,348
170770,Filadélfia,TO,347
171886,Santa Fé do Araguaia,TO,344
172065,Silvanópolis,TO,335
172110,Tocantínia,TO,331
170555,Combinado,TO,321
170380,Buriti do Tocantins,TO,321
171875,Rio Sono,TO,315
170310,Barrolândia,TO,314
170190,Araguacema,TO,306
170386,Cariri do Tocantins,TO,301
171750,Pium,TO,301
171665,Pequizeiro,TO,300
171855,Riachinho,TO,297
171200,Lajeado,TO,296
170370,Brejinho de Nazaré,TO,293
171890,Santa Rosa do Tocantins,TO,275
171510,Novo Acordo,TO,274
170110,Aparecida do Rio Negro,TO,273
171780,Ponte Alta do Bom Jesus,TO,272
170390,Caseara,TO,272
172049,São Valério,TO,269
170755,Fátima,TO,263
170720,Dois Irmãos do Tocantins,TO,260
171250,Marianópolis do Tocantins,TO,260
171430,Nazaré,TO,248
171840,Presidente Kennedy,TO,219
170320,Bernardo Sayão,TO,216
171884,Sandolândia,TO,215
170560,Conceição do Tocantins,TO,214
170830,Goianorte,TO,210
170270,Aurora do Tocantins,TO,205
170030,Aguiarnópolis,TO,202
170130,Aragominas,TO,201
170650,Darcinópolis,TO,196
170825,Fortaleza do Tabocão,TO,193
170600,Couto Magalhães,TO,192
171700,Pindorama do Tocantins,TO,187
171380,Palmeiras do Tocantins,TO,183
172097,Talismã,TO,183
171070,Itaguatins,TO,174
170730,Dueré,TO,170
171515,Novo Alegre,TO,163
170388,Carmolândia,TO,163
171630,Pau D'Arco,TO,155
172030,São Sebastião do Tocantins,TO,153
171720,Piraquê,TO,152
171800,Porto Alegre do Tocantins,TO,152
171900,Santa Tereza do Tocantins,TO,143
170215,Araguanã,TO,143
171880,Sampaio,TO,139
171090,Itapiratins,TO,138
170105,Angico,TO,137
171888,Santa Maria do Tocantins,TO,130
171245,Luzinópolis,TO,126
170740,Esperantina,TO,124
171850,Recursolândia,TO,121
170307,Barra do Ouro,TO,119
172025,São Salvador do Tocantins,TO,117
171240,Lizarda,TO,115
171525,Novo Jardim,TO,114
171865,Rio da Conceição,TO,110
170025,Abreulândia,TO,107
171150,Jaú do Tocantins,TO,105
172010,São Bento do Tocantins,TO,105
171110,Itaporã do Tocantins,TO,100
171830,Praia Norte,TO,98
171550,Oliveira de Fátima,TO,98
172015,São Félix do Tocantins,TO,97
172000,Santa Terezinha do Tocantins,TO,91
171395,Muricilândia,TO,88
170510,Chapada da Natividade,TO,87
171195,Lagoa do Tocantins,TO,87
171270,Mateiros,TO,82
171845,Pugmil,TO,80
172130,Tupiratins,TO,80
172085,Sucupira,TO,77
170410,Centenário,TO,77
172093,Taipas do Tocantins,TO,71
171280,Maurilândia do Tocantins,TO,70
171215,Lavandeira,TO,63
171180,Juarina,TO,50
171870,Rio dos Bois,TO,50
170389,Carrasco Bonito,TO,49
170360,Brasilândia do Tocantins,TO,49
170625,Crixás do Tocantins,TO,46
170980,Ipueiras,TO,38
171370,Monte Santo do Tocantins,TO,37
171889,Santa Rita do Tocantins,TO,34
170460,Chapada de Areia,TO,26
170000,Município ignorado - TO,TO,8
